timestamp,x1_hour,x2_passenger_count,x3_vehicle_count,x4_weather_condition,x5_day_type,occupancy_rate,discount
2025-04-01 11:23:25,11,107,4,0,0,0.54,0.289
2025-04-01 11:28:25,11,111,5,0,0,0.44,0.317
2025-04-01 11:33:25,11,87,3,2,1,0.58,0.276
2025-04-01 11:38:25,11,104,3,1,0,0.69,0.242
2025-04-01 11:43:25,11,6,4,1,1,0.03,0.441
2025-04-01 11:48:25,11,6,4,0,0,0.03,0.441
2025-04-01 11:53:25,11,80,2,1,0,0.8,0.21
2025-04-01 11:58:25,11,112,1,0,0,2.24,-0.222
2025-04-01 12:03:25,12,63,2,2,1,0.63,0.261
2025-04-01 12:08:25,12,66,3,2,1,0.44,0.318
2025-04-01 12:13:25,12,68,1,2,0,1.36,0.042
2025-04-01 12:18:25,12,55,5,0,0,0.22,0.384
2025-04-01 12:23:25,12,22,4,0,1,0.11,0.417
2025-04-01 12:28:25,12,18,2,1,0,0.18,0.396
2025-04-01 12:33:25,12,94,5,1,1,0.38,0.337
2025-04-01 12:38:25,12,96,4,2,1,0.48,0.306
2025-04-01 12:43:25,12,12,3,1,0,0.08,0.426
2025-04-01 12:48:25,12,40,2,1,1,0.4,0.33
2025-04-01 12:53:25,12,10,2,1,0,0.1,0.42
2025-04-01 12:58:25,12,67,2,1,1,0.67,0.249
2025-04-01 13:03:25,13,38,2,1,1,0.38,0.336
2025-04-01 13:08:25,13,18,4,0,1,0.09,0.423
2025-04-01 13:13:25,13,44,5,0,1,0.18,0.397
2025-04-01 13:18:25,13,115,5,1,0,0.46,0.312
2025-04-01 13:23:25,13,64,4,0,0,0.32,0.354
2025-04-01 13:28:25,13,33,5,0,0,0.13,0.41
2025-04-01 13:33:25,13,75,1,0,1,1.5,0.0
2025-04-01 13:38:25,13,12,3,2,0,0.08,0.426
2025-04-01 13:43:25,13,12,3,2,0,0.08,0.426
2025-04-01 13:48:25,13,9,2,2,1,0.09,0.423
2025-04-01 13:53:25,13,45,4,2,0,0.23,0.382
2025-04-01 13:58:25,13,76,4,1,0,0.38,0.336
2025-04-01 14:03:25,14,52,5,2,1,0.21,0.388
2025-04-01 14:08:25,14,108,3,2,0,0.72,0.234
2025-04-01 14:13:25,14,103,5,2,1,0.41,0.326
2025-04-01 14:18:25,14,7,1,0,1,0.14,0.408
2025-04-01 14:23:25,14,18,3,0,0,0.12,0.414
2025-04-01 14:28:25,14,19,2,1,1,0.19,0.393
2025-04-01 14:33:25,14,81,3,2,1,0.54,0.288
2025-04-01 14:38:25,14,107,1,0,1,2.14,-0.192
2025-04-01 14:43:25,14,8,5,2,0,0.03,0.44
2025-04-01 14:48:25,14,113,3,0,1,0.75,0.224
2025-04-01 14:53:25,14,17,3,2,1,0.11,0.416
2025-04-01 14:58:25,14,32,2,1,0,0.32,0.354
2025-04-01 15:03:25,15,66,1,0,1,1.32,0.054
2025-04-01 15:08:25,15,32,4,1,1,0.16,0.402
2025-04-01 15:13:25,15,79,2,2,1,0.79,0.213
2025-04-01 15:18:25,15,93,1,0,0,1.86,-0.108
2025-04-01 15:23:25,15,31,1,0,0,0.62,0.264
2025-04-01 15:28:25,15,7,3,0,1,0.05,0.436
2025-04-01 15:33:25,15,41,1,2,1,0.82,0.204
2025-04-01 15:38:25,15,48,3,1,1,0.32,0.354
2025-04-01 15:43:25,15,100,1,0,1,2.0,-0.15
2025-04-01 15:48:25,15,117,2,1,0,1.17,0.099
2025-04-01 15:53:25,15,6,3,0,0,0.04,0.438
2025-04-01 15:58:25,15,117,1,2,0,2.34,-0.252
2025-04-01 16:03:25,16,6,2,1,0,0.06,0.332
2025-04-01 16:08:25,16,105,1,0,0,2.1,-0.28
2025-04-01 16:13:25,16,6,5,1,1,0.02,0.343
2025-04-01 16:18:25,16,74,4,2,0,0.37,0.239
2025-04-01 16:23:25,16,60,3,0,0,0.4,0.23
2025-04-01 16:28:25,16,42,5,1,1,0.17,0.3
2025-04-01 16:33:25,16,90,3,2,1,0.6,0.17
2025-04-01 16:38:25,16,20,1,0,1,0.4,0.23
2025-04-01 16:43:25,16,63,5,2,1,0.25,0.274
2025-04-01 16:48:25,16,63,4,2,1,0.32,0.256
2025-04-01 16:53:25,16,71,3,2,1,0.47,0.208
2025-04-01 16:58:25,16,109,1,2,1,2.18,-0.304
2025-04-01 17:03:25,17,108,1,2,1,2.16,-0.298
2025-04-01 17:08:25,17,61,1,1,0,1.22,-0.016
2025-04-01 17:13:25,17,35,2,2,0,0.35,0.245
2025-04-01 17:18:25,17,20,2,0,1,0.2,0.29
2025-04-01 17:23:25,17,64,1,1,0,1.28,-0.034
2025-04-01 17:28:25,17,52,4,0,0,0.26,0.272
2025-04-01 17:33:25,17,36,3,2,0,0.24,0.278
2025-04-01 17:38:25,17,109,3,2,1,0.73,0.132
2025-04-01 17:43:25,17,84,3,1,1,0.56,0.182
2025-04-01 17:48:25,17,37,4,2,0,0.18,0.294
2025-04-01 17:53:25,17,76,4,1,1,0.38,0.236
2025-04-01 17:58:25,17,88,3,1,0,0.59,0.174
2025-04-01 18:03:25,18,103,1,0,1,2.06,-0.268
2025-04-01 18:08:25,18,114,2,1,1,1.14,0.008
2025-04-01 18:13:25,18,39,5,0,1,0.16,0.303
2025-04-01 18:18:25,18,37,4,0,1,0.18,0.294
2025-04-01 18:23:25,18,25,4,2,0,0.12,0.312
2025-04-01 18:28:25,18,21,1,2,0,0.42,0.224
2025-04-01 18:33:25,18,90,5,2,1,0.36,0.242
2025-04-01 18:38:25,18,12,3,2,1,0.08,0.326
2025-04-01 18:43:25,18,25,1,2,1,0.5,0.2
2025-04-01 18:48:25,18,101,5,0,1,0.4,0.229
2025-04-01 18:53:25,18,23,4,2,1,0.12,0.316
2025-04-01 18:58:25,18,53,1,1,0,1.06,0.032
2025-04-01 19:03:25,19,50,5,1,0,0.2,0.29
2025-04-01 19:08:25,19,109,5,0,0,0.44,0.219
